F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:-2.01, GyroY:0.82, GyroZ:1.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.07, AccZ:0.88, GyroX:-1.17, GyroY:0.14, GyroZ:1.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.87, GyroX:-0.54, GyroY:-0.95, GyroZ:1.32
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.84, GyroX:-2.30, GyroY:-1.02, GyroZ:1.28
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.08, AccZ:0.83, GyroX:-2.59, GyroY:0.20, GyroZ:0.63
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.84, GyroX:-1.15, GyroY:1.16, GyroZ:-0.01
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.07, AccZ:0.86, GyroX:0.50, GyroY:1.27, GyroZ:-0.33
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.07, AccZ:0.86, GyroX:1.38, GyroY:0.96, GyroZ:-1.09
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.09, AccZ:0.87, GyroX:2.94, GyroY:-0.14, GyroZ:-0.82
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:1.50, GyroY:-0.38, GyroZ:-0.43
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:1.96, GyroY:-0.48, GyroZ:-0.31
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:0.05, GyroY:-1.31, GyroZ:-0.21
