F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.20, AccZ:0.87, GyroX:-11.55, GyroY:14.53, GyroZ:10.10
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.33, AccY:0.11, AccZ:0.74, GyroX:-16.60, GyroY:22.91, GyroZ:13.66
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.33, AccY:0.36, AccZ:1.41, GyroX:20.47, GyroY:43.66, GyroZ:-11.27
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.30, AccZ:1.27, GyroX:4.94, GyroY:16.56, GyroZ:1.20
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.28, AccY:0.03, AccZ:0.76, GyroX:-12.74, GyroY:24.62, GyroZ:15.31
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.25, AccY:0.19, AccZ:0.72, GyroX:-20.18, GyroY:21.74, GyroZ:17.11
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.29, AccY:0.14, AccZ:0.76, GyroX:-21.06, GyroY:23.68, GyroZ:14.68
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.31, AccY:0.15, AccZ:0.72, GyroX:-31.31, GyroY:33.72, GyroZ:17.47
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.31, AccY:0.15, AccZ:0.73, GyroX:-42.97, GyroY:54.49, GyroZ:25.21
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.29, AccY:0.13, AccZ:0.86, GyroX:-57.92, GyroY:69.10, GyroZ:33.98
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.24, AccY:0.04, AccZ:1.13, GyroX:-59.02, GyroY:62.96, GyroZ:33.46
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.23, AccY:-0.20, AccZ:1.33, GyroX:-30.85, GyroY:36.75, GyroZ:22.80
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.31, AccY:-0.16, AccZ:1.01, GyroX:-18.24, GyroY:22.58, GyroZ:16.42
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.28, AccY:-0.07, AccZ:0.80, GyroX:-17.11, GyroY:40.15, GyroZ:16.39
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.24, AccY:-0.01, AccZ:0.90, GyroX:-14.10, GyroY:49.16, GyroZ:18.88
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.22, AccY:0.02, AccZ:0.99, GyroX:-17.52, GyroY:43.85, GyroZ:19.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.20, AccY:0.03, AccZ:0.93, GyroX:-16.65, GyroY:35.86, GyroZ:15.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.23, AccY:0.03, AccZ:0.83, GyroX:-22.01, GyroY:41.78, GyroZ:10.47
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.26, AccY:0.08, AccZ:0.91, GyroX:-21.46, GyroY:59.63, GyroZ:9.05
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.22, AccY:0.06, AccZ:1.07, GyroX:-17.53, GyroY:68.90, GyroZ:13.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.22, AccY:-0.01, AccZ:1.04, GyroX:-20.97, GyroY:66.90, GyroZ:15.47
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.22, AccY:-0.03, AccZ:0.98, GyroX:-16.92, GyroY:68.35, GyroZ:13.99
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.18, AccY:-0.07, AccZ:0.97, GyroX:-15.46, GyroY:69.57, GyroZ:12.91
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.11, AccY:-0.06, AccZ:0.94, GyroX:-12.80, GyroY:69.95, GyroZ:11.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.13, AccY:-0.06, AccZ:0.89, GyroX:-12.05, GyroY:68.15, GyroZ:10.33
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.09, AccY:-0.06, AccZ:0.90, GyroX:-13.14, GyroY:64.98, GyroZ:8.83
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.08, AccY:-0.08, AccZ:0.88, GyroX:-15.89, GyroY:59.92, GyroZ:7.17
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.08, AccY:-0.10, AccZ:0.88, GyroX:-16.91, GyroY:59.71, GyroZ:7.84
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.02, AccY:-0.12, AccZ:0.92, GyroX:-9.38, GyroY:60.59, GyroZ:4.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.02, AccY:-0.14, AccZ:0.87, GyroX:0.76, GyroY:57.11, GyroZ:-2.40
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.03, AccY:-0.09, AccZ:0.81, GyroX:3.75, GyroY:54.35, GyroZ:-7.92
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.03, AccZ:0.84, GyroX:-0.27, GyroY:50.65, GyroZ:-7.66
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.03, AccZ:0.91, GyroX:-0.41, GyroY:42.67, GyroZ:-4.16
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.00, AccZ:0.91, GyroX:-3.53, GyroY:34.94, GyroZ:-1.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:0.00, AccZ:0.89, GyroX:-4.91, GyroY:30.56, GyroZ:0.18
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.01, AccZ:0.89, GyroX:-7.90, GyroY:27.74, GyroZ:0.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.04, AccZ:0.91, GyroX:-7.03, GyroY:23.19, GyroZ:0.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.07, AccZ:0.89, GyroX:-4.19, GyroY:20.52, GyroZ:-0.48
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.10, AccZ:0.90, GyroX:-0.60, GyroY:19.40, GyroZ:-0.01
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.13, AccZ:0.91, GyroX:2.33, GyroY:16.73, GyroZ:0.18
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.15, AccZ:0.89, GyroX:6.08, GyroY:17.89, GyroZ:-0.07
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.14, AccZ:0.95, GyroX:8.27, GyroY:14.30, GyroZ:0.19
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.09, AccZ:0.95, GyroX:7.81, GyroY:4.27, GyroZ:0.04
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.04, AccZ:0.89, GyroX:7.24, GyroY:-2.15, GyroZ:0.13
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.05, AccZ:0.91, GyroX:7.06, GyroY:-7.47, GyroZ:0.63
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:0.00, AccZ:0.87, GyroX:6.88, GyroY:-11.94, GyroZ:0.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:0.00, AccZ:0.87, GyroX:1.70, GyroY:-7.65, GyroZ:1.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.01, AccZ:0.94, GyroX:0.13, GyroY:-5.65, GyroZ:1.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.02, AccZ:0.95, GyroX:1.29, GyroY:-6.52, GyroZ:2.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.01, AccZ:0.91, GyroX:-0.01, GyroY:-2.55, GyroZ:4.48
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:0.00, AccZ:0.93, GyroX:-1.12, GyroY:-4.23, GyroZ:7.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.03, AccY:-0.03, AccZ:0.90, GyroX:-2.15, GyroY:-1.65, GyroZ:8.16
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.06, AccZ:0.93, GyroX:-3.20, GyroY:-2.83, GyroZ:6.79
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.03, AccY:-0.06, AccZ:0.93, GyroX:-2.68, GyroY:-6.80, GyroZ:4.88
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.07, AccZ:0.90, GyroX:-3.64, GyroY:-8.58, GyroZ:4.73
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.09, AccZ:0.90, GyroX:-3.52, GyroY:-9.30, GyroZ:4.42
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.03, AccY:-0.09, AccZ:0.89, GyroX:-2.33, GyroY:-6.84, GyroZ:4.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.08, AccZ:0.91, GyroX:-0.79, GyroY:-3.16, GyroZ:5.67
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.07, AccZ:0.97, GyroX:1.09, GyroY:-4.81, GyroZ:6.19
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.03, AccY:-0.09, AccZ:0.96, GyroX:2.89, GyroY:-7.47, GyroZ:5.32
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.02, AccY:-0.08, AccZ:0.94, GyroX:2.37, GyroY:-7.50, GyroZ:4.07
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.01, AccY:-0.06, AccZ:0.94, GyroX:3.58, GyroY:-5.89, GyroZ:2.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.01, AccY:-0.03, AccZ:0.93, GyroX:2.83, GyroY:-1.80, GyroZ:2.33
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.01, AccY:-0.01, AccZ:0.97, GyroX:4.82, GyroY:0.65, GyroZ:1.55
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.00, AccY:-0.03, AccZ:0.94, GyroX:3.30, GyroY:3.81, GyroZ:2.01
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.01, AccY:-0.03, AccZ:0.94, GyroX:4.94, GyroY:6.27, GyroZ:2.31
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.02, AccY:-0.05, AccZ:0.94, GyroX:4.77, GyroY:7.94, GyroZ:2.83
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.02, AccY:-0.06, AccZ:0.94, GyroX:5.56, GyroY:7.97, GyroZ:2.39
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.03, AccY:-0.06, AccZ:0.92, GyroX:7.15, GyroY:6.91, GyroZ:1.02
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.03, AccY:-0.05, AccZ:0.89, GyroX:5.98, GyroY:6.23, GyroZ:0.10
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.03, AccZ:0.92, GyroX:5.76, GyroY:5.56, GyroZ:0.48
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.04, AccZ:0.89, GyroX:4.28, GyroY:4.76, GyroZ:0.83
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.04, AccZ:0.90, GyroX:2.48, GyroY:4.78, GyroZ:1.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.04, AccZ:0.90, GyroX:0.77, GyroY:4.55, GyroZ:1.03
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.04, AccZ:0.90, GyroX:1.24, GyroY:3.95, GyroZ:0.88
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.04, AccZ:0.92, GyroX:1.17, GyroY:4.49, GyroZ:0.16
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.03, AccZ:0.92, GyroX:1.30, GyroY:5.17, GyroZ:0.02
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.04, AccZ:0.92, GyroX:0.47, GyroY:5.62, GyroZ:0.30
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.04, AccZ:0.92, GyroX:0.16, GyroY:5.34, GyroZ:-0.28
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.03, AccZ:0.89, GyroX:-2.02, GyroY:4.75, GyroZ:-0.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.02, AccZ:0.89, GyroX:-4.44, GyroY:6.78, GyroZ:-0.43
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.03, AccZ:0.91, GyroX:-4.54, GyroY:8.15, GyroZ:-1.02
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.04, AccZ:0.92, GyroX:-3.52, GyroY:8.76, GyroZ:-0.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.05, AccZ:0.93, GyroX:-3.34, GyroY:10.47, GyroZ:-0.94
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.04, AccY:-0.07, AccZ:0.92, GyroX:-5.34, GyroY:11.91, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.07, AccZ:0.93, GyroX:-6.02, GyroY:13.37, GyroZ:0.37
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.06, AccZ:0.92, GyroX:-6.59, GyroY:12.53, GyroZ:1.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.06, AccY:-0.06, AccZ:0.92, GyroX:-7.99, GyroY:9.60, GyroZ:1.76
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.05, AccZ:0.90, GyroX:-10.33, GyroY:6.18, GyroZ:2.31
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.03, AccZ:0.88, GyroX:-15.72, GyroY:5.94, GyroZ:4.11
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.04, AccZ:0.91, GyroX:-20.47, GyroY:6.87, GyroZ:7.17
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.10, AccZ:0.91, GyroX:-22.50, GyroY:8.61, GyroZ:9.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.17, AccZ:0.90, GyroX:-18.79, GyroY:11.77, GyroZ:7.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.14, AccZ:0.92, GyroX:-10.95, GyroY:17.60, GyroZ:5.53
