F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.91, AccY:0.18, AccZ:0.16, GyroX:-18.71, GyroY:-10.61, GyroZ:-4.01
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:0.14, AccZ:0.28, GyroX:-24.37, GyroY:-0.77, GyroZ:4.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.93, AccY:0.05, AccZ:0.33, GyroX:-1.69, GyroY:-5.83, GyroZ:-3.32
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.95, AccY:0.06, AccZ:0.36, GyroX:4.40, GyroY:-6.98, GyroZ:-7.05
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.93, AccY:0.11, AccZ:0.38, GyroX:1.35, GyroY:-13.06, GyroZ:-8.80
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.14, AccZ:0.28, GyroX:-26.89, GyroY:1.02, GyroZ:13.70
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:0.14, AccZ:0.24, GyroX:-27.86, GyroY:13.37, GyroZ:21.79
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:0.10, AccZ:0.32, GyroX:-30.19, GyroY:11.14, GyroZ:25.24
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.90, AccY:0.05, AccZ:0.33, GyroX:-27.09, GyroY:5.45, GyroZ:25.49
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.08, AccZ:0.30, GyroX:-25.89, GyroY:7.71, GyroZ:22.51
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.01, AccZ:0.28, GyroX:-21.92, GyroY:9.95, GyroZ:15.41
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:-0.05, AccZ:0.30, GyroX:-9.75, GyroY:9.49, GyroZ:9.24
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:-0.03, AccZ:0.33, GyroX:1.93, GyroY:7.42, GyroZ:3.20
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.01, AccZ:0.32, GyroX:4.53, GyroY:5.54, GyroZ:0.37
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:0.01, AccZ:0.33, GyroX:7.01, GyroY:2.65, GyroZ:0.25
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:0.06, AccZ:0.35, GyroX:-0.01, GyroY:-3.59, GyroZ:1.00
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.98, AccY:0.03, AccZ:0.28, GyroX:-2.53, GyroY:3.77, GyroZ:1.96
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:0.03, AccZ:0.33, GyroX:-0.88, GyroY:8.88, GyroZ:3.90
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:0.02, AccZ:0.37, GyroX:2.28, GyroY:4.94, GyroZ:2.92
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.02, AccZ:0.36, GyroX:2.01, GyroY:2.29, GyroZ:1.26
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.03, AccZ:0.33, GyroX:3.41, GyroY:0.91, GyroZ:0.74
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:0.06, AccZ:0.33, GyroX:2.47, GyroY:3.59, GyroZ:2.04
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.05, AccZ:0.33, GyroX:0.57, GyroY:6.59, GyroZ:3.81
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.03, AccZ:0.33, GyroX:2.01, GyroY:6.24, GyroZ:4.40
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:0.04, AccZ:0.32, GyroX:1.40, GyroY:4.85, GyroZ:4.39
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.92, AccY:0.02, AccZ:0.34, GyroX:1.46, GyroY:3.62, GyroZ:3.95
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.92, AccY:0.02, AccZ:0.35, GyroX:3.08, GyroY:-0.11, GyroZ:2.30
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:0.03, AccZ:0.33, GyroX:3.79, GyroY:-1.53, GyroZ:2.15
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:0.05, AccZ:0.29, GyroX:0.82, GyroY:3.46, GyroZ:4.54
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:0.03, AccZ:0.31, GyroX:1.40, GyroY:6.61, GyroZ:5.78
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:0.02, AccZ:0.32, GyroX:3.84, GyroY:6.14, GyroZ:5.21
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.91, AccY:0.04, AccZ:0.34, GyroX:4.34, GyroY:3.14, GyroZ:5.78
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.92, AccY:0.03, AccZ:0.35, GyroX:1.82, GyroY:-0.11, GyroZ:6.18
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:0.01, AccZ:0.34, GyroX:0.94, GyroY:-1.01, GyroZ:5.89
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:0.01, AccZ:0.32, GyroX:-0.63, GyroY:1.57, GyroZ:4.65
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:-0.03, AccZ:0.31, GyroX:0.36, GyroY:5.52, GyroZ:3.96
